Id,path_image,path_mask
01_04_19,Features_extraction_analysis/grays\01_04_19_gray.png,Features_extraction_analysis/masks\01_04_19_mask.png
01_06_20,Features_extraction_analysis/grays\01_06_20_gray.png,Features_extraction_analysis/masks\01_06_20_mask.png
01_11_21,Features_extraction_analysis/grays\01_11_21_gray.png,Features_extraction_analysis/masks\01_11_21_mask.png
02_08_19,Features_extraction_analysis/grays\02_08_19_gray.png,Features_extraction_analysis/masks\02_08_19_mask.png
02_09_21,Features_extraction_analysis/grays\02_09_21_gray.png,Features_extraction_analysis/masks\02_09_21_mask.png
03_05_18,Features_extraction_analysis/grays\03_05_18_gray.png,Features_extraction_analysis/masks\03_05_18_mask.png
03_05_22,Features_extraction_analysis/grays\03_05_22_gray.png,Features_extraction_analysis/masks\03_05_22_mask.png
03_06_23,Features_extraction_analysis/grays\03_06_23_gray.png,Features_extraction_analysis/masks\03_06_23_mask.png
03_07_19,Features_extraction_analysis/grays\03_07_19_gray.png,Features_extraction_analysis/masks\03_07_19_mask.png
03_08_22,Features_extraction_analysis/grays\03_08_22_gray.png,Features_extraction_analysis/masks\03_08_22_mask.png
03_10_24,Features_extraction_analysis/grays\03_10_24_gray.png,Features_extraction_analysis/masks\03_10_24_mask.png
04_06_22,Features_extraction_analysis/grays\04_06_22_gray.png,Features_extraction_analysis/masks\04_06_22_mask.png
04_08_24,Features_extraction_analysis/grays\04_08_24_gray.png,Features_extraction_analysis/masks\04_08_24_mask.png
04_09_21,Features_extraction_analysis/grays\04_09_21_gray.png,Features_extraction_analysis/masks\04_09_21_mask.png
04_09_23,Features_extraction_analysis/grays\04_09_23_gray.png,Features_extraction_analysis/masks\04_09_23_mask.png
04_11_18,Features_extraction_analysis/grays\04_11_18_gray.png,Features_extraction_analysis/masks\04_11_18_mask.png
05_03_21,Features_extraction_analysis/grays\05_03_21_gray.png,Features_extraction_analysis/masks\05_03_21_mask.png
05_08_20,Features_extraction_analysis/grays\05_08_20_gray.png,Features_extraction_analysis/masks\05_08_20_mask.png
05_09_19,Features_extraction_analysis/grays\05_09_19_gray.png,Features_extraction_analysis/masks\05_09_19_mask.png
05_11_20,Features_extraction_analysis/grays\05_11_20_gray.png,Features_extraction_analysis/masks\05_11_20_mask.png
05_12_23,Features_extraction_analysis/grays\05_12_23_gray.png,Features_extraction_analysis/masks\05_12_23_mask.png
06_05_18,Features_extraction_analysis/grays\06_05_18_gray.png,Features_extraction_analysis/masks\06_05_18_mask.png
06_06_21,Features_extraction_analysis/grays\06_06_21_gray.png,Features_extraction_analysis/masks\06_06_21_mask.png
06_08_20,Features_extraction_analysis/grays\06_08_20_gray.png,Features_extraction_analysis/masks\06_08_20_mask.png
06_09_19,Features_extraction_analysis/grays\06_09_19_gray.png,Features_extraction_analysis/masks\06_09_19_mask.png
06_09_21,Features_extraction_analysis/grays\06_09_21_gray.png,Features_extraction_analysis/masks\06_09_21_mask.png
06_10_22,Features_extraction_analysis/grays\06_10_22_gray.png,Features_extraction_analysis/masks\06_10_22_mask.png
06_10_23,Features_extraction_analysis/grays\06_10_23_gray.png,Features_extraction_analysis/masks\06_10_23_mask.png
07_04_20,Features_extraction_analysis/grays\07_04_20_gray.png,Features_extraction_analysis/masks\07_04_20_mask.png
07_08_22,Features_extraction_analysis/grays\07_08_22_gray.png,Features_extraction_analysis/masks\07_08_22_mask.png
07_09_23,Features_extraction_analysis/grays\07_09_23_gray.png,Features_extraction_analysis/masks\07_09_23_mask.png
07_10_23,Features_extraction_analysis/grays\07_10_23_gray.png,Features_extraction_analysis/masks\07_10_23_mask.png
08_03_21,Features_extraction_analysis/grays\08_03_21_gray.png,Features_extraction_analysis/masks\08_03_21_mask.png
08_04_20,Features_extraction_analysis/grays\08_04_20_gray.png,Features_extraction_analysis/masks\08_04_20_mask.png
09_07_20,Features_extraction_analysis/grays\09_07_20_gray.png,Features_extraction_analysis/masks\09_07_20_mask.png
10_02_18,Features_extraction_analysis/grays\10_02_18_gray.png,Features_extraction_analysis/masks\10_02_18_mask.png
10_04_20,Features_extraction_analysis/grays\10_04_20_gray.png,Features_extraction_analysis/masks\10_04_20_mask.png
11_05_18,Features_extraction_analysis/grays\11_05_18_gray.png,Features_extraction_analysis/masks\11_05_18_mask.png
11_08_20,Features_extraction_analysis/grays\11_08_20_gray.png,Features_extraction_analysis/masks\11_08_20_mask.png
12_02_20,Features_extraction_analysis/grays\12_02_20_gray.png,Features_extraction_analysis/masks\12_02_20_mask.png
12_07_18,Features_extraction_analysis/grays\12_07_18_gray.png,Features_extraction_analysis/masks\12_07_18_mask.png
12_07_20,Features_extraction_analysis/grays\12_07_20_gray.png,Features_extraction_analysis/masks\12_07_20_mask.png
13_01_18,Features_extraction_analysis/grays\13_01_18_gray.png,Features_extraction_analysis/masks\13_01_18_mask.png
13_03_22,Features_extraction_analysis/grays\13_03_22_gray.png,Features_extraction_analysis/masks\13_03_22_mask.png
13_04_20,Features_extraction_analysis/grays\13_04_20_gray.png,Features_extraction_analysis/masks\13_04_20_mask.png
13_04_21,Features_extraction_analysis/grays\13_04_21_gray.png,Features_extraction_analysis/masks\13_04_21_mask.png
13_05_19,Features_extraction_analysis/grays\13_05_19_gray.png,Features_extraction_analysis/masks\13_05_19_mask.png
13_06_21,Features_extraction_analysis/grays\13_06_21_gray.png,Features_extraction_analysis/masks\13_06_21_mask.png
14_01_18,Features_extraction_analysis/grays\14_01_18_gray.png,Features_extraction_analysis/masks\14_01_18_mask.png
14_01_21,Features_extraction_analysis/grays\14_01_21_gray.png,Features_extraction_analysis/masks\14_01_21_mask.png
14_05_19,Features_extraction_analysis/grays\14_05_19_gray.png,Features_extraction_analysis/masks\14_05_19_mask.png
15_01_22,Features_extraction_analysis/grays\15_01_22_gray.png,Features_extraction_analysis/masks\15_01_22_mask.png
15_04_20,Features_extraction_analysis/grays\15_04_20_gray.png,Features_extraction_analysis/masks\15_04_20_mask.png
15_05_19,Features_extraction_analysis/grays\15_05_19_gray.png,Features_extraction_analysis/masks\15_05_19_mask.png
15_09_20,Features_extraction_analysis/grays\15_09_20_gray.png,Features_extraction_analysis/masks\15_09_20_mask.png
15_09_23,Features_extraction_analysis/grays\15_09_23_gray.png,Features_extraction_analysis/masks\15_09_23_mask.png
16_01_20,Features_extraction_analysis/grays\16_01_20_gray.png,Features_extraction_analysis/masks\16_01_20_mask.png
16_06_22,Features_extraction_analysis/grays\16_06_22_gray.png,Features_extraction_analysis/masks\16_06_22_mask.png
16_10_24,Features_extraction_analysis/grays\16_10_24_gray.png,Features_extraction_analysis/masks\16_10_24_mask.png
16_11_18,Features_extraction_analysis/grays\16_11_18_gray.png,Features_extraction_analysis/masks\16_11_18_mask.png
17_06_22,Features_extraction_analysis/grays\17_06_22_gray.png,Features_extraction_analysis/masks\17_06_22_mask.png
17_09_21,Features_extraction_analysis/grays\17_09_21_gray.png,Features_extraction_analysis/masks\17_09_21_mask.png
17_11_18,Features_extraction_analysis/grays\17_11_18_gray.png,Features_extraction_analysis/masks\17_11_18_mask.png
18_01_23,Features_extraction_analysis/grays\18_01_23_gray.png,Features_extraction_analysis/masks\18_01_23_mask.png
18_02_20,Features_extraction_analysis/grays\18_02_20_gray.png,Features_extraction_analysis/masks\18_02_20_mask.png
18_04_18,Features_extraction_analysis/grays\18_04_18_gray.png,Features_extraction_analysis/masks\18_04_18_mask.png
18_04_19,Features_extraction_analysis/grays\18_04_19_gray.png,Features_extraction_analysis/masks\18_04_19_mask.png
18_05_20,Features_extraction_analysis/grays\18_05_20_gray.png,Features_extraction_analysis/masks\18_05_20_mask.png
