mask_name,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image- Hash,diagnostics_Image- Dimensionality,diagnostics_Image- Spacing,diagnostics_Image- Size,diagnostics_Image- Mean,diagnostics_Image- Minimum,diagnostics_Image- Maximum,diagnostics_Mask- Hash,diagnostics_Mask- Spacing,diagnostics_Mask- Size,diagnostics_Mask- BoundingBox,diagnostics_Mask- VoxelNum,diagnostics_Mask- VolumeNum,diagnostics_Mask- CenterOfMassIndex,diagnostics_Mask- CenterOfMass, glcm_Contrast, glcm_Correlation, glcm_JointEnergy, glcm_JointEntropy, glrlm_ShortRunEmphasis, glrlm_LongRunEmphasis, glrlm_GrayLevelNonUniformity, glrlm_RunLengthNonUniformity, glrlm_RunPercentage, glszm_SmallAreaEmphasis, glszm_LargeAreaEmphasis, glszm_GrayLevelNonUniformity, glszm_ZoneVariance, glszm_ZonePercentage, ngtdm_Coarseness, ngtdm_Contrast, ngtdm_Complexity, ngtdm_Strength
01_04_19,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},47033974c227a6d98a4ca7dab2b707b486d1f61c,2D,"(1.0, 1.0)","(512, 254)",22.372923843503937,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",11.38870998251456,0.9407163304061609,0.04703967755012981,5.564833769298167,0.1563793848654904,48.264293267142804,1059.4918880664054,5132.618841430143,0.22920683300255174,0.013063825099139642,11633.80574980575,65.78166278166279,8629.709681840217,0.018244967394386163,0.000401296621757579,0.051678038458189746,2736.6334244879154,4.274464039355174
01_06_20,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},83485d15841072ada4cf25ca061072b639ccf77f,2D,"(1.0, 1.0)","(512, 254)",22.478800135334644,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",10.384276852264412,0.9461163386925555,0.058613824818072854,5.169589776780207,0.15073254714573914,67.1491446645399,1012.7320884390471,3486.17985975141,0.19455273603629145,0.016611723505487196,67933.37960954447,51.27765726681128,62079.967946697034,0.013070598242132124,0.0004539897996095606,0.05284189318679018,2215.5001213445485,5.38293327105193
01_11_21,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},7f5e3b059ec977d833c4fff9e4caf41654090f39,2D,"(1.0, 1.0)","(512, 254)",22.62502306840551,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",11.761519615319136,0.9451941455729682,0.05493791387716204,4.980709363153528,0.14913491086564692,57.883492984602015,1032.4369091505437,3549.9414279791154,0.20039693790757018,0.01166604122025998,51313.6724137931,50.881773399014776,43766.94172389527,0.011511199319535016,0.00040513862189586427,0.25104571574993123,894.894441960905,1.8639503472075802
02_09_21,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},32efe220bf8c03b87c62d00d8f2dfc00ffde61ea,2D,"(1.0, 1.0)","(512, 254)",22.445497047244096,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",11.763795275451322,0.9475539468381572,0.05678873739128988,5.150032636636246,0.14348589713966908,68.87341569281637,878.5669907033371,3441.2753708073183,0.19259285511766375,0.010610395097621723,65959.90208078336,43.36964504283966,58505.259981812436,0.011582081088743975,0.0005653943928758694,0.1894972267952663,669.1822240718676,1.5100981502866586
03_05_18,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},c9ef1fecb359509b96d257ac0fe6da35494ddd59,2D,"(1.0, 1.0)","(512, 254)",22.310093196358267,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",6.620198273384204,0.9680135638173223,0.05108105075663286,5.315648422493574,0.1403896516221606,74.7714801824398,807.9294534460688,3317.5349039201583,0.18799262829600227,0.009613964823585003,69164.39276485788,33.47286821705426,60858.44894470819,0.010972497873546923,0.0007815706494532827,0.06191152518882443,759.6031150177918,2.93017916011195
03_05_22,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},c98fce07e561c05d3efdef412fbd0f6298343619,2D,"(1.0, 1.0)","(512, 254)",22.315114419291337,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",14.416273965727129,0.9288903161808912,0.05286074642252518,5.435119860344434,0.15018499917681086,81.79167196663505,868.5032116123881,4141.548725756511,0.20174014743407995,0.010681624271979941,68201.59082568808,55.30825688073394,64013.48241730495,0.015452225687553162,0.00048544613127646697,0.06000164473654601,2535.791081513268,4.066133353859345
03_06_23,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},d4ee7278a5841a524b887463f5d14ece7fdd43e3,2D,"(1.0, 1.0)","(512, 254)",22.242818036417322,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",6.83525012193131,0.9681394073536396,0.050875888847329964,5.278912839846107,0.1431560215175623,68.78137658506665,825.954157949938,3321.3561319696414,0.19019705131840092,0.009357344553499385,53749.81167108753,33.92838196286472,44997.390279253355,0.010688970796711087,0.0007863829661114096,0.0713740291808814,779.9561317349775,3.0080785867000257
03_07_19,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},4c55edfed51470424822a0490f561bb25db35635,2D,"(1.0, 1.0)","(512, 254)",22.390378937007874,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",9.31138599794223,0.9520849358110921,0.056351128282698754,5.21981341620668,0.14850211350035833,65.30513904049587,907.9558470149251,3503.725712691616,0.19731003685852,0.01736120260812357,64676.981941309255,40.98194130925508,58338.234227945104,0.012560249503827616,0.000595323774778612,0.04991122168838349,1853.08663778821,5.141654999064778
03_08_22,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},c6cff7c5327e85480b07eac6f357747377ab6bb0,2D,"(1.0, 1.0)","(512, 254)",22.467504306102363,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",13.069831314595342,0.9445391374444161,0.04823702423940218,5.3805136209702065,0.15729387590401092,47.69670630081558,1009.0120803465641,4226.613169509889,0.21473986390700311,0.013729978855833528,23948.261798753338,69.81032947462155,20002.676850663174,0.015920045364332294,0.0004337769948451909,0.2068070152448999,999.9255616707134,2.04688991029186
03_10_24,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},8e8fd3263933d12cb3e50aa8f94955db0dfe080c,2D,"(1.0, 1.0)","(512, 254)",22.581339197834644,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",16.337487589288042,0.9288131207939456,0.05376196160928791,5.1898790592793755,0.15857397510605947,44.069186876225515,1170.3452806202258,4535.773945036431,0.22117592855117663,0.012904069624187125,20699.873760144274,71.79891794409377,16654.042008942328,0.01572157641054721,0.0003231831889743474,0.27215282680511593,1241.0716005820252,1.8114450415645367
