Id,path_image,path_mask
01_04_19,Analysis/Sentinel2_Images_Catillon/grays\01_04_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\01_04_19_mask.png
01_06_20,Analysis/Sentinel2_Images_Catillon/grays\01_06_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\01_06_20_mask.png
01_11_21,Analysis/Sentinel2_Images_Catillon/grays\01_11_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\01_11_21_mask.png
02_08_19,Analysis/Sentinel2_Images_Catillon/grays\02_08_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\02_08_19_mask.png
02_09_21,Analysis/Sentinel2_Images_Catillon/grays\02_09_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\02_09_21_mask.png
03_05_18,Analysis/Sentinel2_Images_Catillon/grays\03_05_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\03_05_18_mask.png
03_05_22,Analysis/Sentinel2_Images_Catillon/grays\03_05_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\03_05_22_mask.png
03_06_23,Analysis/Sentinel2_Images_Catillon/grays\03_06_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\03_06_23_mask.png
03_07_19,Analysis/Sentinel2_Images_Catillon/grays\03_07_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\03_07_19_mask.png
03_08_22,Analysis/Sentinel2_Images_Catillon/grays\03_08_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\03_08_22_mask.png
03_10_24,Analysis/Sentinel2_Images_Catillon/grays\03_10_24_gray.png,Analysis/Sentinel2_Images_Catillon/masks\03_10_24_mask.png
04_06_22,Analysis/Sentinel2_Images_Catillon/grays\04_06_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\04_06_22_mask.png
04_08_24,Analysis/Sentinel2_Images_Catillon/grays\04_08_24_gray.png,Analysis/Sentinel2_Images_Catillon/masks\04_08_24_mask.png
04_09_21,Analysis/Sentinel2_Images_Catillon/grays\04_09_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\04_09_21_mask.png
04_09_23,Analysis/Sentinel2_Images_Catillon/grays\04_09_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\04_09_23_mask.png
04_11_18,Analysis/Sentinel2_Images_Catillon/grays\04_11_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\04_11_18_mask.png
05_03_21,Analysis/Sentinel2_Images_Catillon/grays\05_03_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\05_03_21_mask.png
05_08_20,Analysis/Sentinel2_Images_Catillon/grays\05_08_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\05_08_20_mask.png
05_09_19,Analysis/Sentinel2_Images_Catillon/grays\05_09_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\05_09_19_mask.png
05_11_20,Analysis/Sentinel2_Images_Catillon/grays\05_11_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\05_11_20_mask.png
05_12_23,Analysis/Sentinel2_Images_Catillon/grays\05_12_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\05_12_23_mask.png
06_05_18,Analysis/Sentinel2_Images_Catillon/grays\06_05_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\06_05_18_mask.png
06_06_21,Analysis/Sentinel2_Images_Catillon/grays\06_06_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\06_06_21_mask.png
06_08_20,Analysis/Sentinel2_Images_Catillon/grays\06_08_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\06_08_20_mask.png
06_09_19,Analysis/Sentinel2_Images_Catillon/grays\06_09_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\06_09_19_mask.png
06_09_21,Analysis/Sentinel2_Images_Catillon/grays\06_09_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\06_09_21_mask.png
06_10_22,Analysis/Sentinel2_Images_Catillon/grays\06_10_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\06_10_22_mask.png
06_10_23,Analysis/Sentinel2_Images_Catillon/grays\06_10_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\06_10_23_mask.png
07_04_20,Analysis/Sentinel2_Images_Catillon/grays\07_04_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\07_04_20_mask.png
07_08_22,Analysis/Sentinel2_Images_Catillon/grays\07_08_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\07_08_22_mask.png
07_09_23,Analysis/Sentinel2_Images_Catillon/grays\07_09_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\07_09_23_mask.png
07_10_23,Analysis/Sentinel2_Images_Catillon/grays\07_10_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\07_10_23_mask.png
08_03_21,Analysis/Sentinel2_Images_Catillon/grays\08_03_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\08_03_21_mask.png
